# 统计：如果一个参数被显式检查的比例小于阈值，则该参数不用显式检查，其显式entropy为0
#参数需要显示检查而为检查的，其显示约束统一为NNN，计算。
# 隐式约束同样处理。

/usr/bin/python2.7 /home/ccc/zz_work/xcallee_arg/calculate_pattern_entropy_onlyrm_unneedArg.py

Begin time: 2019-12-30 16:38:25.135919
阈值：th_uncheck > 0.8  th_needcheck < 0.4

# Total entropy | implict-check | explict check | callsite id | location

[0.97, [0, 0, 0.32], [0.28, 0.24, 0.13], 65569, u'/mnt/win-e/sourcecode/file-FILE5_35/src/softmagic.c: 464:2:13593:13613']
[0.96, [0, 0, 0.32], [0.16, 0.32, 0.16], 73481, u'/mnt/win-e/sourcecode/file-FILE5_35/src/softmagic.c: 2039:7:46830:46862']
[0.89, [0, 0, 0.31], [0.16, 0.32, 0.1], 5192, u'/mnt/win-e/sourcecode/file-FILE5_35/src/apprentice.c: 1314:2:30377:30457']
[0.87, [0, 0, 0.32], [0.28, 0.08, 0.19], 65569, u'/mnt/win-e/sourcecode/file-FILE5_35/src/softmagic.c: 464:2:13593:13613']
[0.81, [0, 0, 0.32], [0.28, 0.08, 0.13], 61302, u'/mnt/win-e/sourcecode/file-FILE5_35/src/readelf.c: 1671:4:41867:41896']
[0.75, [0, 0, 0.32], [0.05, 0.08, 0.3], 25390, u'/mnt/win-e/sourcecode/file-FILE5_35/src/cdf.c: 1156:2:29293:29327']
[0.74, [0, 0, 0.32], [0.28, 0.08, 0.06], 20343, u'/mnt/win-e/sourcecode/file-FILE5_35/src/cdf.c: 420:1:11084:11164']
[0.74, [0, 0, 0.32], [0.28, 0.08, 0.06], 23648, u'/mnt/win-e/sourcecode/file-FILE5_35/src/cdf.c: 930:1:23479:23513']
[0.5, [0, 0, 0.31], [0.05, 0.08, 0.06], 69334, u'/mnt/win-e/sourcecode/file-FILE5_35/src/softmagic.c: 1362:1:32445:32480']

End: 2019-12-30 16:38:25.206457

Time Used: 0:00:00.070538

Process finished with exit code 0
